city_name,description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds,incident_date
Guimaraes,"queuing traffic",,"Acesso A11, Guimarães Sul (N105)","Rua De Angola (N105)",N105,Jam,Moderate,791,128,"2018-10-27 19:27:09.473000"
Guimaraes,"queuing traffic",,"Acesso A11, Guimarães Sul (N105)","Rua De Angola (N105)",N105,Jam,Moderate,706,131,"2018-10-27 19:07:09.836000"
Guimaraes,"queuing traffic",,"Acesso A11, Guimarães Sul (N105)","Rua De Angola (N105)",N105,Jam,Moderate,1084,188,"2018-10-27 18:47:09.457000"
Guimaraes,"stationary traffic",,"Rua Eduardo Manuel de Almeida / Avenida Dom Afonso Henriques","Rua Eduardo Manuel de Almeida / Avenida Dom Afonso Henriques",,Jam,Major,198,147,"2018-10-27 18:27:09.624000"
Guimaraes,"stationary traffic",,"Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá","Rua Eduardo Manuel de Almeida / Avenida Dom João IV",,Jam,Major,384,252,"2018-10-27 18:27:09.624000"
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,235,157,"2018-10-27 16:27:13.546000"
Guimaraes,"stationary traffic",,"Rua De São Gonçalo/Rua De Gil Vicente (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,432,319,"2018-10-27 16:07:09.367000"
Guimaraes,"stationary traffic",,"Rua da Dourada","Rua Dona Teresa",N207-4,Jam,Major,264,163,"2018-10-27 16:07:09.367000"
Guimaraes,"stationary traffic",,"Oliveira Do Castelo (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,942,411,"2018-10-27 16:07:09.367000"
Guimaraes,"queuing traffic",,"Rua De Cam?es (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Moderate,322,158,"2018-10-27 15:47:13.672000"
Guimaraes,"stationary traffic",,"Largo de Navarros de Andrade / Avenida General Humberto Delgado","Largo Condessa Mumadona (N101)",,Jam,Major,264,130,"2018-10-27 15:27:10.224000"
Guimaraes,"stationary traffic",,"Rua De São Gonçalo/Rua De Gil Vicente (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,228,122,"2018-10-27 15:07:14.176000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,552,140,"2018-10-27 12:27:09.721000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,967,229,"2018-10-27 12:07:09.431000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,557,182,"2018-10-27 11:47:09.529000"
Guimaraes,"queuing traffic",,"Rua De Teixeira De Pascoais (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Moderate,362,140,"2018-10-27 11:27:09.660000"
Guimaraes,"queuing traffic",,"Oliveira Do Castelo (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Moderate,674,254,"2018-10-27 11:27:09.660000"
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,264,193,"2018-10-27 11:07:09.707000"
Guimaraes,"stationary traffic",,"Oliveira Do Castelo (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,381,228,"2018-10-27 10:47:09.645000"
Guimaraes,"stationary traffic",,"Avenida Conde de Margaride / Travessa dos Gaiteiros","Largo Comandante José de Pina (N101)",,Jam,Major,264,281,"2018-10-27 09:47:09.546000"
Guimaraes,"stationary traffic",,"Alameda Doutor Alfredo Pimenta (N101)","Praceta Rotary Club de Guimarães",,Jam,Major,469,154,"2018-10-26 23:07:09.484000"
Guimaraes,"stationary traffic",,"Rua De São Gonçalo/Rua De Gil Vicente (N101)","Rua De Teixeira De Pascoais (N101)",N101,Jam,Major,381,576,"2018-10-26 23:07:09.484000"
Guimaraes,"stationary traffic",,"Largo Bernardo Valentim Moreira de Sá / Avenida Dom Afonso Henriques","Largo 25 de Abril (N101) / Rua de Camões",,Jam,Major,498,464,"2018-10-26 23:07:09.484000"
Guimaraes,"stationary traffic",,"Rua de São Tomé e Príncipe",N105,,Jam,Major,189,171,"2018-10-26 23:07:09.484000"
Guimaraes,"queuing traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Moderate,871,161,"2018-10-26 22:47:09.606000"
